Axial length (cm),Vitreous volume (mL),Source,Semi-axis a (cm),Semi-axis b (cm)
2.25378151260504,3.97943875732111,de Santana et al. (2021),1.0654414530686416,0.8653657563025199
2.26638655462185,4.17980637544274,de Santana et al. (2021),1.087122089402945,0.871668277310925
2.26732026143791,3.97824361259655,de Santana et al. (2021),1.0611443656362862,0.8721351307189551
2.28443821973234,4.1819637269049,de Santana et al. (2021),1.0818073555510064,0.88069410986617
2.28319327731092,3.97901094983448,de Santana et al. (2021),1.0564473358727708,0.8800716386554599
2.29253034547152,4.1785186316951,de Santana et al. (2021),1.0789001552892201,0.88474017273576
2.30672268907563,4.37795569136746,de Santana et al. (2021),1.099158857480331,0.891836344537815
2.31820728291316,4.37728953399542,de Santana et al. (2021),1.0955563984288135,0.8975786414565801
2.32100840336134,4.17935217723453,de Santana et al. (2021),1.0704250437491658,0.8989792016806699
2.32240896358543,4.57836923860453,de Santana et al. (2021),1.1183908908682734,0.899679481792715
2.33454715219421,4.37755097190391,de Santana et al. (2021),1.0906357879601492,0.9057485760971049
2.33921568627451,4.78675222816399,de Santana et al. (2021),1.1375441306267882,0.908082843137255
2.34284676833696,4.5792920050175,de Santana et al. (2021),1.1122017837190898,0.90989838416848
2.34295051353875,4.98334674475851,de Santana et al. (2021),1.158848197712085,0.9099502567693749
2.35685237057786,4.78594112931368,de Santana et al. (2021),1.1319674429380548,0.9169011852889299
2.35602240896359,4.37723860453272,de Santana et al. (2021),1.084190450463468,0.916486204481795
2.36349206349206,4.57858838962582,de Santana et al. (2021),1.1058635588240342,0.92022103174603
2.36302521008403,4.98230608607079,de Santana et al. (2021),1.1523920029845938,0.919987605042015
2.362558356676,4.7864126984127,de Santana et al. (2021),1.130264598164067,0.9197541783379999
2.36862745098039,5.18436363636364,de Santana et al. (2021),1.1731368137765565,0.922788725490195
2.37432306255836,4.57861234190646,de Santana et al. (2021),1.1026266496248451,0.9256365312791799
2.37469654528478,4.98276020711315,de Santana et al. (2021),1.148805338557853,0.9258232726423901
2.37723089235694,4.78548626723417,de Santana et al. (2021),1.1256777424677504,0.9270904461784699
2.37936507936508,5.18345878957644,de Santana et al. (2021),1.169639473030798,0.9281575396825399
2.38403361344538,4.57730651048298,de Santana et al. (2021),1.099593819591699,0.9304918067226899
2.38496732026144,4.98300783233404,de Santana et al. (2021),1.1456601300448694,0.93095866013072
2.3875350140056,4.78604940157881,de Santana et al. (2021),1.12262712077134,0.9322425070028
2.38730158730159,5.38498327815975,de Santana et al. (2021),1.189052588921504,0.932125793650795
2.39337068160598,5.18434403623709,de Santana et al. (2021),1.1653488795967426,0.93516034080299
2.39010270774977,4.37674289109583,de Santana et al. (2021),1.0741907224251204,0.933526353874885
2.39103641456583,4.98065087853323,de Santana et al. (2021),1.1435341048884784,0.9339932072829149
2.39430438842204,4.5784643069349,de Santana et al. (2021),1.0967066845243998,0.9356271942110199
2.39943977591036,4.78525235548765,de Santana et al. (2021),1.1189695757393696,0.93819488795518
2.40444177671068,5.18366444759722,de Santana et al. (2021),1.1618408393518638,0.94069588835534
