a,b,AL,volume,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.0654414530686416,0.8653657563025199,2.25378151260504,3.97943875732111,7.869099625993165,8.58583659133559,6.34543758884702,7.117573549758786,4.672711484091589,8.23252232127194,6.839532667010512
1.087122089402945,0.871668277310925,2.26638655462185,4.17980637544274,8.041656061827062,8.77689912232074,6.473340866510574,7.292384013412583,4.794905118484663,8.428175895266596,7.009387831129613
1.0611443656362862,0.8721351307189551,2.26732026143791,3.97824361259655,7.9499204382653055,8.673638524024671,6.401087293207406,7.195779441453358,4.721907485771499,8.318511391292736,6.9210122961557
1.0818073555510064,0.88069410986617,2.28443821973234,4.1819637269049,8.153302750646832,8.898106364228044,6.550427461773725,7.400904736099483,4.863742676365017,8.547237778508682,7.122091280319535
1.0564473358727708,0.8800716386554599,2.28319327731092,3.97901094983448,8.045463885217588,8.777262882121663,6.467049061652591,7.288461383266752,4.7809056549371975,8.420176130865734,7.017403750640153
1.07890015528922,0.88474017273576,2.29253034547152,4.1785186316951,8.201120330753092,8.949831766885024,6.583312013448212,7.447226288213176,4.893209522399657,8.597877199052736,7.1704128533958515
1.099158857480331,0.891836344537815,2.30672268907563,4.37795569136746,8.383386657221394,9.151201896154557,6.717344347661344,7.631307663351026,5.0207760034935305,8.80342547518272,7.350413101644178
1.0955563984288137,0.8975786414565801,2.31820728291316,4.37728953399542,8.454516681869631,9.228021935715292,6.766548513318757,7.700359759481099,5.064918398740789,8.878791574503362,7.421835013130713
1.0704250437491658,0.8989792016806699,2.32100840336134,4.17935217723453,8.37514810096556,9.137864185609011,6.703655132871263,7.616079421792858,5.0013900485797445,8.782340133131969,7.345240507796943
1.1183908908682734,0.899679481792715,2.32240896358543,4.57836923860453,8.573308152246259,9.360832655156837,6.856164174957036,7.822451321993377,5.152318450033608,9.016746334828511,7.538094776569912
1.0906357879601492,0.9057485760971048,2.33454715219421,4.37755097190391,8.555983915117237,9.337430018165394,6.836805544373909,7.799020050090066,5.1285578599585895,8.986234565694676,7.523789652372446
1.1375441306267882,0.908082843137255,2.33921568627451,4.78675222816399,8.772698642125592,9.580724320752262,7.001422016182766,8.022700536548518,5.289462996988093,9.24013069602407,7.735353171650015
1.1122017837190898,0.90989838416848,2.34284676833696,4.5792920050175,8.703200334905516,9.500838357886577,6.946255947629972,7.948986038837421,5.23386981534155,9.154404632885345,7.6687247758158845
1.158848197712085,0.9099502567693748,2.34295051353875,4.98334674475851,8.880103070059947,9.701171925433991,7.082106921899614,8.132772326559666,5.367649820278266,9.365109253198735,7.840718823009208
1.1319674429380548,0.91690118528893,2.35685237057786,4.78594112931368,8.885726002698354,9.702370997818367,7.079781095065235,8.132958214057682,5.360772720965946,9.359788184793363,7.84905424793626
1.084190450463468,0.916486204481795,2.35602240896359,4.37723860453272,8.688267071426077,9.479696635636863,6.9285327500234635,7.9274096709191175,5.211508552801893,9.125797806125739,7.656077048068956
1.1058635588240342,0.92022103174603,2.36349206349206,4.57858838962582,8.83291781360049,9.640245363290806,7.036261731282983,8.075081574472676,5.315713615308354,9.291266723077543,7.798600831936686
1.1523920029845938,0.919987605042015,2.36302521008403,4.98230608607079,9.011022731338684,9.842064925636198,7.1728488935519685,8.260447483784434,5.450088592332754,9.503674630991261,7.972192807236617
1.130264598164067,0.919754178338,2.362558356676,4.7864126984127,8.922608564519436,9.742011610118965,7.10540849499817,8.168899745563957,5.384167479015748,9.398753037590641,7.88600844602842
1.1731368137765563,0.922788725490195,2.36862745098039,5.18436363636364,9.131747490874616,9.977001793196992,7.262432544045393,8.383290785968786,5.536056646233255,9.642780231818673,8.090906923941349
1.1026266496248451,0.92563653127918,2.37432306255836,4.57861234190646,8.900672621463762,9.712933250254629,7.083280053929876,8.14084783449252,5.358419351852835,9.362579642980327,7.8661299337927675
1.148805338557853,0.92582327264239,2.37469654528478,4.98276020711315,9.087293225806137,9.923991772273855,7.225842727813456,8.334907141215627,5.498476209089631,9.584287831124712,8.048712342637035
1.1256777424677504,0.92709044617847,2.37723089235694,4.78548626723417,9.015974767837964,9.842196887123809,7.170241132987599,8.259771402501393,5.443284962104833,9.497178931470781,7.979481838815606
1.169639473030798,0.92815753968254,2.37936507936508,5.18345878957644,9.202794608974367,10.053257952718653,7.311825592812259,8.452739011880542,5.581367099791175,9.717849441057293,8.162235057303585
