Time,Fab,IgG
773,0.00890816431074033,0.0475829381795383
773.1,0.00890321749677787,0.0475674409246732
773.2,0.00889827337361236,0.047551948761542
773.3,0.00889333194024119,0.0475364616876347
773.4,0.00888839319566165,0.0475209797004476
773.5,0.0088834571388737,0.0475055027974712
773.6,0.00887852376887837,0.0474900309762019
773.7,0.0088735930846783,0.0474745642341315
773.8,0.00886866508527825,0.0474591025687549
773.9,0.00886373976968347,0.0474436459775649
774,0.0088588171369018,0.0474281944580551
774.1,0.00885389718594217,0.0474127480077184
774.2,0.00884897991581512,0.0473973066240477
774.3,0.00884406532553315,0.0473818703045388
774.4,0.00883915341410926,0.0473664390466847
774.5,0.00883424418055979,0.0473510128479767
774.6,0.00882933762390089,0.0473355917059101
774.7,0.00882443374315163,0.0473201756179784
774.8,0.0088195325373314,0.0473047645816744
774.9,0.00881463400546249,0.0472893585944928
775,0.00880973814656728,0.0472739576539266
775.1,0.00880484495967099,0.0472585617574689
775.2,0.00879995444380022,0.0472431709026122
775.3,0.00879506659798234,0.0472277850868513
775.4,0.00879018142124725,0.0472124043076813
775.5,0.0087852989126257,0.0471970285625931
775.6,0.00878041907115062,0.0471816578490803
775.7,0.00877554189585596,0.047166292164638
775.8,0.00877066738577755,0.047150931506759
775.9,0.00876579553995321,0.0471355758729364
776,0.00876092635742084,0.0471202252606648
776.1,0.0087560598372219,0.0471048796674355
776.2,0.00875119597839788,0.0470895390907447
776.3,0.00874633477999282,0.0470742035280847
776.4,0.00874147624105166,0.0470588729769482
776.5,0.0087366203606212,0.0470435474348311
776.6,0.0087317671377498,0.0470282268992239
776.7,0.00872691657148753,0.0470129113676219
776.8,0.00872206866088614,0.0469976008375186
776.9,0.00871722340499777,0.0469822953064064
777,0.0087123808028783,0.0469669947717808
777.1,0.008707540853583,0.0469516992311349
777.2,0.00870270355617015,0.0469364086819581
777.3,0.00869786890969932,0.0469211231217484
777.4,0.00869303691323096,0.0469058425479992
777.5,0.00868820756582745,0.0468905669582037
777.6,0.00868338086655364,0.0468752963498523
777.7,0.00867855681447461,0.0468600307204431
777.8,0.00867373540865772,0.0468447700674654
777.9,0.00866891664817181,0.0468295143884166
778,0.00866410053208721,0.0468142636807874
778.1,0.00865928705947612,0.0467990179420718
778.2,0.00865447622941199,0.0467837771697642
778.3,0.0086496680409695,0.046768541361358
778.4,0.00864486249322551,0.0467533105143459
778.5,0.00864005958525891,0.0467380846262211
778.6,0.00863525931614878,0.0467228636944793
778.7,0.00863046168497688,0.0467076477166123
778.8,0.00862566669082612,0.0466924366901117
778.9,0.00862087433278101,0.0466772306124763
779,0.00861608460992754,0.0466620294811952
779.1,0.00861129752135352,0.0466468332937628
779.2,0.00860651306614845,0.0466316420476736
779.3,0.00860173124340256,0.0466164557404213
779.4,0.00859695205220889,0.0466012743694979
779.5,0.00859217549166122,0.0465860979323964
779.6,0.00858740156085477,0.0465709264266137
779.7,0.00858263025888732,0.0465557598496396
779.8,0.00857786158485689,0.0465405981989698
779.9,0.00857309553786424,0.0465254414720981
780,0.00856833211701097,0.0465102896665165
780.1,0.00856357132140064,0.0464951427797192
780.2,0.00855881315013822,0.0464800008091989
780.3,0.00855405760233022,0.0464648637524505
780.4,0.00854930467708496,0.0464497316069665
780.5,0.00854455437351189,0.0464346043702414
780.6,0.00853980669072258,0.0464194820397674
780.7,0.0085350616278295,0.0464043646130399
780.8,0.00853031918394737,0.0463892520875491
780.9,0.00852557935819228,0.0463741444607937
781,0.00852084214968172,0.0463590417302625
781.1,0.0085161075575346,0.0463439438934506
781.2,0.00851137558087226,0.0463288509478515
781.3,0.00850664621881605,0.0463137628909582
781.4,0.00850191947049079,0.046298679720266
781.5,0.00849719533502129,0.046283601433268
781.6,0.00849247381153523,0.0462685280274538
781.7,0.00848775489916056,0.0462534595003218
781.8,0.00848303859702755,0.0462383958493643
781.9,0.00847832490426819,0.0462233370720733
782,0.00847361382001557,0.0462082831659433
782.1,0.00846890534340461,0.0461932341284692
782.2,0.00846419947357199,0.046178189957142
782.3,0.00845949620965592,0.0461631506494567
782.4,0.00845479555079498,0.0461481162029055
782.5,0.00845009749613156,0.0461330866149839
782.6,0.00844540204480808,0.0461180618831846
782.7,0.00844070919596813,0.0461030420049994
782.8,0.00843601894875856,0.0460880269779246
782.9,0.00843133130232631,0.0460730167994524
783,0.0084266462558205,0.0460580114670759
783.1,0.00842196380839203,0.0460430109782878
783.2,0.00841728395919285,0.046028015330584
783.3,0.00841260670737658,0.0460130245214562
783.4,0.00840793205209898,0.0459980385483994
783.5,0.00840325999251663,0.0459830574089053
783.6,0.0083985905277881,0.0459680811004694
783.7,0.00839392365707353,0.0459531096205843
783.8,0.00838925937953401,0.0459381429667421
783.9,0.0083845976943338,0.0459231811364389
784,0.00837993860063691,0.0459082241271658
784.1,0.00837528209761006,0.0458932719364179
784.2,0.00837062818442071,0.0458783245616873
784.3,0.00836597686023875,0.0458633820004707
784.4,0.00836132812423482,0.0458484442502573
784.5,0.00835668197558259,0.0458335113085446
784.6,0.008352038413455,0.0458185831728221
784.7,0.00834739743702867,0.0458036598405853
784.8,0.00834275904548042,0.0457887413093287
784.9,0.00833812323798974,0.0457738275765444
785,0.00833349001373685,0.0457589186397282
785.1,0.00832885937190373,0.0457440144963696
785.2,0.00832423131167433,0.0457291151439655
785.3,0.00831960583223376,0.0457142205800068
785.4,0.00831498293276873,0.0456993308019897
785.5,0.00831036261246736,0.0456844458074074
785.6,0.00830574487052026,0.0456695655937519
785.7,0.00830112970611831,0.0456546901585174
785.8,0.00829651711845505,0.0456398194991953
785.9,0.00829190710672498,0.0456249536132836
786,0.00828729967012442,0.0456100924982731
786.1,0.00828269480785132,0.0455952361516553
786.2,0.00827809251910447,0.0455803845709278
786.3,0.00827349280308538,0.045565537753582
786.4,0.00826889565899647,0.0455506956971122
786.5,0.00826430108604174,0.0455358583990111
786.6,0.0082597090834269,0.0455210258567727
786.7,0.00825511965035933,0.0455061980678889
786.8,0.0082505327860479,0.0454913750298561
786.9,0.0082459484897028,0.0454765567401658
787,0.00824136676053603,0.0454617431963119
787.1,0.00823678759776144,0.0454469343957891
787.2,0.00823221100059354,0.0454321303360875
787.3,0.00822763696824977,0.0454173310147049
787.4,0.00822306549994759,0.0454025364291333
787.5,0.00821849659490759,0.0453877465768647
787.6,0.00821393025235097,0.0453729614553947
787.7,0.00820936647150028,0.0453581810622137
787.8,0.0082048052515805,0.04534340539482
787.9,0.00820024659181792,0.0453286344507015
788,0.00819569049144019,0.045313868227359
788.1,0.00819113694967574,0.045299106722279
788.2,0.0081865859657566,0.0452843499329574
788.3,0.00818203753891446,0.0452695978568878
788.4,0.00817749166838359,0.0452548504915662
788.5,0.0081729483533996,0.045240107834481
788.6,0.00816840759319978,0.0452253698831296
788.7,0.00816386938702221,0.0452106366350059
788.8,0.00815933373410764,0.0451959080875992
788.9,0.0081548006336981,0.0451811842384068
789,0.00815027008503664,0.0451664650849228
789.1,0.00814574208736866,0.0451517506246376
789.2,0.00814121663994034,0.0451370408550466
789.3,0.00813669374200009,0.0451223357736429
789.4,0.00813217339279758,0.0451076353779192
789.5,0.00812765559158435,0.0450929396653709
789.6,0.00812314033761267,0.0450782486334897
789.7,0.00811862763013746,0.0450635622797719
789.8,0.00811411746841487,0.0450488806017059
789.9,0.00810960985170225,0.0450342035967899
790,0.0081051047792586,0.0450195312625163
790.1,0.00810060225034487,0.0450048635963777
790.2,0.00809610226422349,0.0449902005958678
790.3,0.00809160482015823,0.0449755422584796
790.4,0.0080871099174146,0.0449608885817088
790.5,0.00808261755525956,0.0449462395630469
790.6,0.00807812773296187,0.0449315951999873
790.7,0.00807364044979138,0.0449169554900244
790.8,0.00806915570502021,0.044902320430652
790.9,0.0080646734979217,0.0448876900193629
791,0.00806019382777004,0.0448730642536502
791.1,0.00805571669384286,0.0448584431310092
791.2,0.00805124209541722,0.0448438266489329
791.3,0.00804677003177351,0.0448292148049119
791.4,0.00804230050219232,0.0448146075964437
791.5,0.00803783350595644,0.0448000050210193
791.6,0.00803336904235089,0.0447854070761336
791.7,0.00802890711066085,0.0447708137592789
791.8,0.00802444771017394,0.0447562250679492
791.9,0.0080199908401796,0.044741640999638
792,0.00801553649996818,0.0447270615518391
792.1,0.00801108468883156,0.0447124867220462
792.2,0.00800663540606449,0.0446979165077523
792.3,0.00800218865096141,0.0446833509064508
792.4,0.0079977444228197,0.0446687899156345
792.5,0.0079933027209375,0.0446542335328007
792.6,0.00798886354461525,0.0446396817554389
792.7,0.00798442689315444,0.0446251345810421
792.8,0.0079799927658582,0.044610592007108
792.9,0.00797556116203177,0.0445960540311266
793,0.00797113208098063,0.0445815206505917
793.1,0.00796670552201389,0.0445669918629983
793.2,0.00796228148443994,0.0445524676658383
793.3,0.00795785996757069,0.0445379480566085
793.4,0.00795344097071821,0.0445234330327976
793.5,0.00794902449319723,0.0445089225919021
793.6,0.00794461053432333,0.044494416731416
793.7,0.00794019909341377,0.0444799154488309
793.8,0.00793579016978766,0.04446541874164
793.9,0.00793138376276533,0.0444509266073402
794,0.00792697987166924,0.0444364390434209
794.1,0.0079225784958228,0.0444219560473781
794.2,0.00791817963455125,0.0444074776167058
794.3,0.00791378328718144,0.0443930037488939
794.4,0.00790938945304191,0.0443785344414405
794.5,0.00790499813146245,0.0443640696918362
794.6,0.00790060932177458,0.0443496094975759
794.7,0.00789622302331159,0.0443351538561509
794.8,0.0078918392354079,0.0443207027650601
794.9,0.00788745795740013,0.0443062562217903
795,0.00788307918862591,0.0442918142238375
795.1,0.00787870292842451,0.044277376768697
795.2,0.00787432917613703,0.0442629438538613
795.3,0.00786995793110614,0.0442485154768215
795.4,0.00786558919267578,0.0442340916350756
795.5,0.00786122296019179,0.0442196723261148
795.6,0.00785685923300137,0.0442052575474313
795.7,0.00785249801045337,0.0441908472965206
795.8,0.00784813929189811,0.044176441570874
795.9,0.00784378307668785,0.0441620403679882
796,0.00783942936417574,0.0441476436853546
796.1,0.00783507815371736,0.0441332515204666
796.2,0.00783072944466881,0.0441188638708187
796.3,0.00782638323638926,0.0441044807339032
796.4,0.00782203952823786,0.0440901021072148
796.5,0.00781769831957631,0.0440757279882471
796.6,0.00781335960976737,0.0440613583744928
796.7,0.00780902339817595,0.0440469932634451
796.8,0.0078046896841682,0.0440326326525992
796.9,0.00780035846711167,0.0440182765394467
797,0.00779602974637551,0.0440039249214819
797.1,0.00779170352133082,0.0439895777961992
797.2,0.00778737979135004,0.0439752351610901
797.3,0.00778305855580697,0.0439608970136501
797.4,0.00777873981407753,0.0439465633513717
797.5,0.00777442356553871,0.0439322341717476
797.6,0.00777010980956892,0.0439179094722726
797.7,0.00776579854554925,0.0439035892504407
797.8,0.00776148977286086,0.0438892735037438
797.9,0.00775718349088759,0.0438749622296763
798,0.00775287969901398,0.0438606554257317
798.1,0.00774857839662744,0.0438463530894049
798.2,0.0077442795831157,0.0438320552181872
798.3,0.00773998325786821,0.0438177618095718
798.4,0.00773568942027655,0.0438034728610541
798.5,0.00773139806973397,0.0437891883701268
798.6,0.00772710920563429,0.0437749083342834
798.7,0.00772282282737412,0.0437606327510158
798.8,0.00771853893435053,0.0437463616178212
798.9,0.00771425752596327,0.0437320949321912
799,0.00770997860161267,0.0437178326916169
799.1,0.00770570216070125,0.0437035748935963
799.2,0.00770142820263303,0.0436893215356187
799.3,0.00769715672681317,0.0436750726151813
799.4,0.00769288773264891,0.0436608281297762
799.5,0.00768862121954881,0.0436465880768951
799.6,0.00768435718692345,0.0436323524540343
799.7,0.00768009563418396,0.0436181212586846
799.8,0.00767583656074394,0.043603894488343
799.9,0.00767157996601858,0.0435896721404997
800,0.00766732584942413,0.0435754542126495
800.1,0.00766307421037866,0.0435612407022857
800.2,0.00765882504830177,0.0435470316069011
800.3,0.00765457836261477,0.0435328269239926
800.4,0.00765033415274033,0.0435186266510493
800.5,0.0076460924181029,0.0435044307855665
800.6,0.00764185315812823,0.0434902393250384
800.7,0.00763761637224448,0.0434760522669576
800.8,0.00763338205987989,0.04346186960882
800.9,0.00762915022046557,0.0434476913481144
801,0.00762492085343342,0.0434335174823382
801.1,0.0076206939582176,0.0434193480089842
801.2,0.0076164695342533,0.0434051829255436
801.3,0.00761224758097761,0.0433910222295129
801.4,0.00760802809782857,0.043376865918385
801.5,0.00760381108424694,0.0433627139896508
801.6,0.00759959653967389,0.0433485664408082
801.7,0.00759538446355292,0.0433344232693464
801.8,0.00759117485532876,0.043320284472761
801.9,0.0075869677144478,0.0433061500485486
802,0.00758276304035802,0.0432920199941963
802.1,0.00757856083250857,0.0432778943072015
802.2,0.00757436109035139,0.0432637729850576
802.3,0.0075701638133382,0.0432496560252569
802.4,0.00756596900092393,0.0432355434252941
802.5,0.00756177665256417,0.0432214351826621
802.6,0.00755758676771625,0.0432073312948535
802.7,0.00755339934583933,0.0431932317593641
802.8,0.00754921438639383,0.0431791365736852
802.9,0.00754503188884158,0.043165045735311
803,0.00754085185264677,0.0431509592417352
803.1,0.00753667427727449,0.0431368770904525
803.2,0.00753249916219123,0.043122799278955
803.3,0.00752832650686586,0.0431087258047347
803.4,0.00752415631076833,0.0430946566652899
803.5,0.00751998857337,0.0430805918581084
803.6,0.00751582329414392,0.0430665313806863
803.7,0.00751166047256502,0.0430524752305198
803.8,0.00750750010810927,0.0430384234050971
803.9,0.0075033422002547,0.0430243759019162
804,0.00749918674848119,0.0430103327184681
804.1,0.00749503375226889,0.0429962938522474
804.2,0.00749088321110086,0.0429822593007474
804.3,0.00748673512446119,0.0429682290614606
804.4,0.00748258949183551,0.0429542031318815
